,S.NO,estimator,n_estimators,loss,R2_Value
0,1,LinearRegression(),50,linear,0.7699193083112129
1,2,LinearRegression(),50,square,0.7650770462477663
2,3,LinearRegression(),50,exponential,0.7044436406368938
3,4,LinearRegression(),100,linear,0.783142650262876
4,5,LinearRegression(),100,square,0.7577859837784416
5,6,LinearRegression(),100,exponential,0.707141387870319
6,7,LinearRegression(),150,linear,0.7712641850817419
7,8,LinearRegression(),150,square,0.746787277046598
8,9,LinearRegression(),150,exponential,0.6835474669561699
9,10,LinearRegression(),200,linear,0.7803709048771679
10,11,LinearRegression(),200,square,0.7722295523341656
11,12,LinearRegression(),200,exponential,0.7203248699773965
12,13,LinearRegression(),250,linear,0.7759309347974093
13,14,LinearRegression(),250,square,0.7634864795486345
14,15,LinearRegression(),250,exponential,0.7076032150463554
15,16,LinearRegression(),300,linear,0.7874792047388709
16,17,LinearRegression(),300,square,0.752126089833288
17,18,LinearRegression(),300,exponential,0.7205080592716755
18,19,LinearRegression(),350,linear,0.7819439663190502
19,20,LinearRegression(),350,square,0.7484711568242564
20,21,LinearRegression(),350,exponential,0.724421251848568
21,22,LinearRegression(),400,linear,0.777472676168293
22,23,LinearRegression(),400,square,0.7751114335402314
23,24,LinearRegression(),400,exponential,0.7217474444921776
24,25,LinearRegression(),450,linear,0.7832210769023296
25,26,LinearRegression(),450,square,0.7603017161644173
26,27,LinearRegression(),450,exponential,0.7113218667340557
27,28,LinearRegression(),500,linear,0.7684779813114955
28,29,LinearRegression(),500,square,0.7668465644100235
29,30,LinearRegression(),500,exponential,0.69971036317072
30,31,LinearRegression(),550,linear,0.797351019225837
31,32,LinearRegression(),550,square,0.7437180900133235
32,33,LinearRegression(),550,exponential,0.7032943627128816
33,34,LinearRegression(),600,linear,0.7839168967021033
34,35,LinearRegression(),600,square,0.7340456523529766
35,36,LinearRegression(),600,exponential,0.7204447916329242
36,37,LinearRegression(),650,linear,0.7837937369997795
37,38,LinearRegression(),650,square,0.7549008134578703
38,39,LinearRegression(),650,exponential,0.7194323821862201
39,40,LinearRegression(),700,linear,0.7879170321052029
40,41,LinearRegression(),700,square,0.7612960228563054
41,42,LinearRegression(),700,exponential,0.7073638377485735
42,43,LinearRegression(),750,linear,0.774100555048676
43,44,LinearRegression(),750,square,0.7747867777400697
44,45,LinearRegression(),750,exponential,0.7147664854903175
45,46,LinearRegression(),800,linear,0.7871989326232937
46,47,LinearRegression(),800,square,0.7627563794458863
47,48,LinearRegression(),800,exponential,0.7225866477641683
48,49,LinearRegression(),850,linear,0.7736914722626432
49,50,LinearRegression(),850,square,0.770167316052598
50,51,LinearRegression(),850,exponential,0.7073214122072882
51,52,LinearRegression(),900,linear,0.779106442318938
52,53,LinearRegression(),900,square,0.7526663693647437
53,54,LinearRegression(),900,exponential,0.7305121837107128
54,55,LinearRegression(),950,linear,0.772679599712288
55,56,LinearRegression(),950,square,0.7693245329767981
56,57,LinearRegression(),950,exponential,0.7331392871214091
57,58,LinearRegression(),1000,linear,0.7795326874209527
58,59,LinearRegression(),1000,square,0.7462834343020648
59,60,LinearRegression(),1000,exponential,0.7130847298666363
60,61,LinearRegression(),1050,linear,0.7834145202872786
61,62,LinearRegression(),1050,square,0.782507778143947
62,63,LinearRegression(),1050,exponential,0.7048323645597196
63,64,LinearRegression(),1100,linear,0.7867825244614296
64,65,LinearRegression(),1100,square,0.7532467066096409
65,66,LinearRegression(),1100,exponential,0.7056975160843422
66,67,LinearRegression(),1150,linear,0.7766491312689225
67,68,LinearRegression(),1150,square,0.7617908349744014
68,69,LinearRegression(),1150,exponential,0.7147222752185338
69,70,LinearRegression(),1200,linear,0.7813545978411384
70,71,LinearRegression(),1200,square,0.7533917577505529
71,72,LinearRegression(),1200,exponential,0.694850688487825
72,73,LinearRegression(),1250,linear,0.7730711376464244
73,74,LinearRegression(),1250,square,0.7527832228564886
74,75,LinearRegression(),1250,exponential,0.6877370085024764
75,76,LinearRegression(),1300,linear,0.7864502690259202
76,77,LinearRegression(),1300,square,0.7573352290431354
77,78,LinearRegression(),1300,exponential,0.7023193198273077
78,79,LinearRegression(),1350,linear,0.7650856727514828
79,80,LinearRegression(),1350,square,0.7567506818491834
80,81,LinearRegression(),1350,exponential,0.7272024995405462
81,82,LinearRegression(),1400,linear,0.7851809279130735
82,83,LinearRegression(),1400,square,0.7618124049976662
83,84,LinearRegression(),1400,exponential,0.708860475419455
84,85,LinearRegression(),1450,linear,0.782197086910682
85,86,LinearRegression(),1450,square,0.7572019741343041
86,87,LinearRegression(),1450,exponential,0.6941631025596162
87,88,DecisionTreeRegressor(),50,linear,0.8475254896771088
88,89,DecisionTreeRegressor(),50,square,0.8203534450943298
89,90,DecisionTreeRegressor(),50,exponential,0.8457782307828482
90,91,DecisionTreeRegressor(),100,linear,0.8478921766323727
91,92,DecisionTreeRegressor(),100,square,0.8380721166859703
92,93,DecisionTreeRegressor(),100,exponential,0.8371581258090769
93,94,DecisionTreeRegressor(),150,linear,0.8401536616872411
94,95,DecisionTreeRegressor(),150,square,0.8195258157021208
95,96,DecisionTreeRegressor(),150,exponential,0.8485187785502434
96,97,DecisionTreeRegressor(),200,linear,0.8372637157408482
97,98,DecisionTreeRegressor(),200,square,0.8275861287575684
98,99,DecisionTreeRegressor(),200,exponential,0.8544988249509642
99,100,DecisionTreeRegressor(),250,linear,0.840092190414026
100,101,DecisionTreeRegressor(),250,square,0.8353211202479522
101,102,DecisionTreeRegressor(),250,exponential,0.846865495707382
102,103,DecisionTreeRegressor(),300,linear,0.8385731579011272
103,104,DecisionTreeRegressor(),300,square,0.8363339077230568
104,105,DecisionTreeRegressor(),300,exponential,0.8469948429826141
105,106,DecisionTreeRegressor(),350,linear,0.8401335418692101
106,107,DecisionTreeRegressor(),350,square,0.8358211405185897
107,108,DecisionTreeRegressor(),350,exponential,0.8447162280451228
108,109,DecisionTreeRegressor(),400,linear,0.8401747145530223
109,110,DecisionTreeRegressor(),400,square,0.831656255448948
110,111,DecisionTreeRegressor(),400,exponential,0.8488942773222911
111,112,DecisionTreeRegressor(),450,linear,0.8432652521814586
112,113,DecisionTreeRegressor(),450,square,0.8377235813229718
113,114,DecisionTreeRegressor(),450,exponential,0.8429058789230655
114,115,DecisionTreeRegressor(),500,linear,0.8412159164117212
115,116,DecisionTreeRegressor(),500,square,0.8279017753395645
116,117,DecisionTreeRegressor(),500,exponential,0.8347124491520485
117,118,DecisionTreeRegressor(),550,linear,0.8414282255855654
118,119,DecisionTreeRegressor(),550,square,0.8354649274868415
119,120,DecisionTreeRegressor(),550,exponential,0.8390804188519846
120,121,DecisionTreeRegressor(),600,linear,0.839465224385352
121,122,DecisionTreeRegressor(),600,square,0.8378961967035767
122,123,DecisionTreeRegressor(),600,exponential,0.8473294939871302
123,124,DecisionTreeRegressor(),650,linear,0.8418296024115659
124,125,DecisionTreeRegressor(),650,square,0.8255250665642173
125,126,DecisionTreeRegressor(),650,exponential,0.8356212014011268
126,127,DecisionTreeRegressor(),700,linear,0.8367416099951521
127,128,DecisionTreeRegressor(),700,square,0.8289368192356096
128,129,DecisionTreeRegressor(),700,exponential,0.8454280424072812
129,130,DecisionTreeRegressor(),750,linear,0.8426549864635038
130,131,DecisionTreeRegressor(),750,square,0.8307344358894576
