,S.NO,objective,n_estimators,booster,learning_rate,R2_Value
0,1,reg:squarederror,50,gblinear,0.0,-9.771979443518042e-05
1,2,reg:squarederror,50,gblinear,0.2,0.789477419526325
2,3,reg:squarederror,50,gblinear,0.4,0.7894790251540582
3,4,reg:squarederror,50,gblinear,0.6000000000000001,0.7894790320724943
4,5,reg:squarederror,50,gblinear,0.8,0.7894790366955874
5,6,reg:squarederror,50,gblinear,1.0,0.7894790317461089
6,7,reg:squarederror,50,gblinear,1.2000000000000002,0.7894790296340128
7,8,reg:squarederror,50,gblinear,1.4000000000000001,0.7894790308136926
8,9,reg:squarederror,50,gblinear,1.6,0.7894790316663227
9,10,reg:squarederror,50,gblinear,1.8,0.7894813931442686
10,11,reg:squarederror,50,gbtree,0.0,-9.771979443518042e-05
11,12,reg:squarederror,50,gbtree,0.2,0.8459287290277244
12,13,reg:squarederror,50,gbtree,0.4,0.8263549562010188
13,14,reg:squarederror,50,gbtree,0.6000000000000001,0.8091995945415702
14,15,reg:squarederror,50,gbtree,0.8,0.7935788624425701
15,16,reg:squarederror,50,gbtree,1.0,0.7496135374108219
16,17,reg:squarederror,50,gbtree,1.2000000000000002,0.757067676301661
17,18,reg:squarederror,50,gbtree,1.4000000000000001,0.708088054076967
18,19,reg:squarederror,50,gbtree,1.6,0.6774669320109141
19,20,reg:squarederror,50,gbtree,1.8,0.5533926295370726
20,21,reg:squarederror,60,gblinear,0.0,-9.771979443518042e-05
21,22,reg:squarederror,60,gblinear,0.2,0.7894788239167431
22,23,reg:squarederror,60,gblinear,0.4,0.7894790240936009
23,24,reg:squarederror,60,gblinear,0.6000000000000001,0.7894790312223279
24,25,reg:squarederror,60,gblinear,0.8,0.7894790309572735
25,26,reg:squarederror,60,gblinear,1.0,0.78947903840044
26,27,reg:squarederror,60,gblinear,1.2000000000000002,0.7894790296161174
27,28,reg:squarederror,60,gblinear,1.4000000000000001,0.7894790317461089
28,29,reg:squarederror,60,gblinear,1.6,0.7894790330406692
